"id","name","unitLastWord","unitSeqLast","word","argOrder","noPrevMentions","noPrevZero","noNextMentions","noNextZero","bridge","justFirst","justLast","local","identifiable","topic","interrog","argType","animate","self","addressee","length","pronom"
"zI4ItYkPDOn","lha sa'i sbi rag","དེ་ ལྷ་ས འི་ སྦི་ཅིའུ་",5,"ལྷ་ས འི་ སྦི་ཅིའུ་",1,0,0,0,0,0,0,0,FALSE,"i",TRUE,FALSE,"P",FALSE,FALSE,FALSE,5,FALSE
"oenQLRhLiNb","lha sa'i sbi rag gi gong","ག་ཚོད་ བྱས་ འཚོང་ གི་ ཡོད ། ད་ལྟ །",6,"ག་ཚོད་ བྱས་",2,0,0,1,0,0,0,0,FALSE,"n",FALSE,TRUE,"E",FALSE,FALSE,FALSE,3,TRUE
"5qb2PYxLqM4","ma gir (money sending destination)","ཨ་ནི་ ་་་ ད་གིན་ <0> མ་གི ར་ ཉི་ཤུ་ ཐམ་པ་ དེ་ བསྐྱལ་ ཚར་ པས །",9,"མ་གི ར་",1,0,0,0,0,0,0,0,FALSE,"i",FALSE,FALSE,"R",FALSE,FALSE,FALSE,3,TRUE
"5mNTH0eiuji","sgor mo nyi shu tham pa","ཨ་ནི་ ་་་ ད་གིན་ <0> མ་གི ར་ ཉི་ཤུ་ ཐམ་པ་ དེ་ བསྐྱལ་ ཚར་ པས །",9,"ཉི་ཤུ་ ཐམ་པ་ དེ་",2,0,0,0,0,0,0,0,FALSE,"i",FALSE,FALSE,"P",FALSE,FALSE,FALSE,5,FALSE
"oCIP4v5rwxb","dngul (da lta sprod)","ད་ འདི་ <0> རང་ ལ་ སྟེར་ དགོས་ ད །",12,"འདི་",1,0,0,0,0,0,0,0,TRUE,"i",TRUE,FALSE,"P",FALSE,FALSE,FALSE,1,TRUE
"GoyMsIuIcaj","bstan 'dzin","ད་ འདི་ <0> རང་ ལ་ སྟེར་ དགོས་ ད །",12,"རང་ ལ་",2,1,1,0,1,0,0,0,TRUE,"i",FALSE,FALSE,"R",TRUE,FALSE,TRUE,2,TRUE
"rgILaj6N7v3","mig dmar","འདུག་ཟེ་ དེ་ ལས་ཀ་ བཅུག་ དང་ ཟེར་",17,"དེ་",1,2,0,3,0,0,0,0,TRUE,"i",TRUE,FALSE,"A",TRUE,FALSE,FALSE,1,TRUE
"ljF0mfQMXTQ","las ka bcug dang","འདུག་ཟེ་ དེ་ ལས་ཀ་ བཅུག་ དང་ ཟེར་",17,"ལས་ཀ་ བཅུག་ དང་",2,0,0,0,0,0,0,0,FALSE,"n",FALSE,FALSE,"P",FALSE,FALSE,FALSE,4,FALSE
"TAXmco5sbkD","lo bstan","ཅོག་ ང་ ལས་ཀ་ བཅུག་ གི་ རེད་ པས །",27,"ཅོག་",1,1,0,0,0,0,0,0,TRUE,"i",FALSE,FALSE,"A",TRUE,FALSE,TRUE,1,FALSE
"Lwrv4GjzGcw","mig dmar","ཅོག་ ང་ ལས་ཀ་ བཅུག་ གི་ རེད་ པས །",27,"ང་",2,3,4,0,4,0,1,0,TRUE,"i",FALSE,FALSE,"P",TRUE,TRUE,FALSE,1,TRUE
"C3jhXJCxFev","las ka (mig dmar bcug ya)","ཅོག་ ང་ ལས་ཀ་ བཅུག་ གི་ རེད་ པས །",27,"ལས་ཀ་",3,1,0,1,0,0,0,0,FALSE,"i",FALSE,FALSE,"E",FALSE,FALSE,FALSE,2,FALSE
"CoPBDCCU1b1","mig dmar","བྱས་ ན་ རང་ ལོ་ ག་ཚོད་ ལ་ སླེབས་ ཀྱི་ ཡོད་ རེད ། ད་ལྟ །",42,"རང་",1,1,5,0,5,0,0,0,TRUE,"i",TRUE,FALSE,"COPS",TRUE,FALSE,TRUE,1,TRUE
"28H8o3QJn4U","mig dmar gyi lo ","བྱས་ ན་ རང་ ལོ་ ག་ཚོད་ ལ་ སླེབས་ ཀྱི་ ཡོད་ རེད ། ད་ལྟ །",42,"ལོ་ ག་ཚོད་ ལ་",2,0,0,2,0,0,0,0,FALSE,"n",FALSE,TRUE,"E",FALSE,FALSE,FALSE,4,FALSE
"gmpbl3M7pP9","mid dmar gyi bsdad stangs","ཨ་ནི་ ་་ རང་ བསྡད་ སྟངས་ དེ་ ཚོ་ <0> སུ ས་ སློབ་ བྱུང་ ་།",57,"རང་ བསྡད་ སྟངས་ དེ་ ཚོ་",1,0,0,1,0,0,0,0,FALSE,"i",TRUE,FALSE,"P",FALSE,FALSE,FALSE,5,FALSE
"jOoFAYzQq7e","bsdad stangs slob mkhan","ཨ་ནི་ ་་ རང་ བསྡད་ སྟངས་ དེ་ ཚོ་ <0> སུ ས་ སློབ་ བྱུང་ ་།",57,"སུ ས་",2,0,0,0,0,0,0,0,FALSE,"n",FALSE,TRUE,"A",TRUE,FALSE,FALSE,2,TRUE
"zq6OrjQALMh","tshong khang (physical)","ད་ལྟ་ ང་ ཚོ འི་ འདི ར་ ལས་ཀ འི་ ནང་ ལ་ ལམ་སེང་ ད་གར་",83,"ང་ ཚོ འི་ འདི ར་",1,0,0,2,0,0,0,0,TRUE,"i",TRUE,FALSE,"COPLOC",FALSE,FALSE,FALSE,5,TRUE
"s2yObIv8MBHho","lam seng bcug dang","བཅུག་ ཆོག་ ཆོག་ དེ་འདྲས་ ཡོད་ མ་ རེད །",85,"ལས་ཀ འི་ ནང་ ལ་ ལམ་སེང་ ད་གར་ བཅུག་ དང་ ལབ་པ་ ད་གར་ བཅུག་ ཆོག་ ཆོག་ དེ་འདྲས་",2,2,0,2,0,0,0,0,FALSE,"n",FALSE,FALSE,"EXIST",FALSE,FALSE,FALSE,20,FALSE
