id,p_clause,n_arg,correct
101364B8E1494,0.21140000404549802,2,FALSE
1A36913FD6DF4,0.23142326467989843,2,FALSE
1CB3F43EB9C0A,0.1806174254276595,2,FALSE
1E33C144CFADF,0.16188131240244022,2,FALSE
2618661069EEA,0.12941555693565684,2,FALSE
26D84D16131D9,0.0992291247276959,2,FALSE
2BFE7AD86D774,0.24912657467028831,2,FALSE
2D2A00720DC77,0.17209976431332993,2,FALSE
2F0F05BC5CE1A,0.2294743630922142,2,FALSE
7CEDFB27DCA8,0.1009932654604697,2,FALSE
FK9Xe8RdDjm,0.23426645860028375,2,FALSE
JFV8W3zVYE2,0.04427313483551118,3,FALSE
JVRb7LRLGGU,0.14263789682563915,2,FALSE
KwKHQ9r9Qkr,0.21063064649273397,2,FALSE
Mnx9d5co3cQ,0.21139315236585615,2,FALSE
U8fGzPz7Z6k,0.22185786287632037,2,FALSE
Vj3TW8P0khm,0.14447755399229978,2,FALSE
artNSQxmEQs,0.19320710889172923,2,FALSE
eVEutaJqdRY,0.1718013725323243,2,FALSE
j1ZbEpXKk8O,0.0824072678066882,3,FALSE
mabIg3xYLRi,0.2476453146625459,2,FALSE
mmMC0duvJrm,0.03338164909268286,3,FALSE
oV1gCmSmbza,0.178829396145141,2,FALSE
sc3KwfZ6OCQ,0.16129179644150557,2,FALSE
wUs8H0eXIV9,0.24819582336347112,2,FALSE
